Contact Developer,Verfified by developer,Investment (USD Million),Developersorted ascending,Developersorted ascendingDeveloper Category,Planned COD,Unnamed: 1,Developer Category,Project Status,State,Project Name,source
Contact,--,0.47,AMAR BIO ENERGIES,AMAR BIO ENERGIESPrivate,--,,Private,Permitting,Haryana,Amar Bio Energies,biogas
Contact,--,0.07,AMISHA COMPRESSED BIOGAS PRIVATE LIMITED,AMISHA COMPRESSED BIOGAS PRIVATE LIMITEDPrivate,--,,Private,Under Construction,Haryana,AMISHA COMPRESSED BIOGAS PRIVATE LIMITED,biogas
Contact,--,0.24,AMRIT FRESH PRIVATE LIMITED,AMRIT FRESH PRIVATE LIMITEDPrivate,--,,Private,Permitting,West Bengal,Amrit Fresh CBG Plant,biogas
Contact,--,3.85,ANAERGIA FUELS PRIVATE LIMITED,ANAERGIA FUELS PRIVATE LIMITEDPrivate,--,,Private,Permitting,Madhya Pradesh,Anaergia Fuels Bio-CNG plant ashta,biogas
Contact,--,4.74,ANANT BIOFUEL AND BIOTECH,ANANT BIOFUEL AND BIOTECHPrivate,--,,Private,Under Construction,Chhattisgarh,ANANT BIOFUEL AND BIOTECH,biogas
Contact,--,1.19,ANISH GREEN ENERGY,ANISH GREEN ENERGYPrivate,--,,Private,Permitting,Odisha,ANISH GREEN ENERGY,biogas
Contact,--,2.96,ANSHIKA MEDIHUB PRIVATE LIMITED,ANSHIKA MEDIHUB PRIVATE LIMITEDPrivate,--,,Private,Permitting,Haryana,ANSHIKA MEDIHUB PRIVATE LIMITED,biogas
Contact,--,1.48,APSS ADARSH BIO AGRO PRIVATE LIMITED,APSS ADARSH BIO AGRO PRIVATE LIMITEDPrivate,--,,Private,Under Construction,Maharashtra,APSS ADARSH BIO AGRO PRIVATE LIMITED,biogas
Contact,--,1.54,AQUAGREEN ENERGIES PRIVATE LIMITED,AQUAGREEN ENERGIES PRIVATE LIMITEDPrivate,--,,Private,Under Construction,Punjab,6000 CUM OF RAW BIO GAS (PRODUCTION CAPACITY 2.6 TON CBG PROJECT,biogas
Contact,--,4.44,AQUAGREEN ENERGIES PVT LTD,AQUAGREEN ENERGIES PVT LTDPrivate,--,,Private,Permitting,Punjab,Aquagreen Energies Pvt Ltd,biogas
Contact,--,2.84,ARAVALI CBG PRIVATE LIMITED,ARAVALI CBG PRIVATE LIMITEDPrivate,--,,Private,Permitting,Haryana,ARAVALI CBG PRIVATE LIMITED,biogas
Contact,--,1.78,ARJUN BIO PRODUCTS PRIVATE LIMITED,ARJUN BIO PRODUCTS PRIVATE LIMITEDPrivate,--,,Private,Permitting,Andhra Pradesh,ARJUN BIO PRODUCTS,biogas
Contact,--,14.22,ARUNODAYA GREEN FUELS LIMITED,ARUNODAYA GREEN FUELS LIMITEDPrivate,--,,Private,Permitting,Andhra Pradesh,ARUNODAYA GREEN FUELS LIMITED,biogas
Contact,--,1.19,ASHWIN ENERGIA PRAVITED LTD,ASHWIN ENERGIA PRAVITED LTDPrivate,--,,Private,Permitting,Bihar,ASHWIN ENERGIA Pvt Ltd,biogas
Contact,--,5.93,ATL BIOFUEL INDIA PRIVATE LIMITED,ATL BIOFUEL INDIA PRIVATE LIMITEDPrivate,--,,Private,Under Construction,Punjab,ATL CBG PROJECT,biogas
Contact,--,3.26,Aastha NextGen LLP,Aastha NextGen LLPPrivate,--,,Private,Permitting,Madhya Pradesh,Aastha BioCng,biogas
Contact,--,1.19,Abhinav Green Power (India) Private Limited,Abhinav Green Power (India) Private LimitedPrivate,--,,Private,Permitting,Chhattisgarh,Abhinav Green Power,biogas
Contact,--,1.42,Acconey Bioagro Pvt. Ltd.,Acconey Bioagro Pvt. Ltd.Private,--,,Private,Permitting,Uttar Pradesh,ACCONEY BIOAGRO PVT LTD,biogas
Contact,--,59.26,Advait Empire limited,Advait Empire limitedPrivate,--,,Private,Permitting,Maharashtra,Advait Empire Pargoan/Galandwadi,biogas
Contact,--,4.98,Adwik Bio Energ-e Private Limited,Adwik Bio Energ-e Private LimitedPrivate,--,,Private,Under Construction,Delhi,"200 MTPD Bio-Gas plant at Ghogha Dairy Colony, Narela Zone under the jurisdiction of NDMC",biogas
Contact,--,1.48,Aerostar Bioenergy Private Limited,Aerostar Bioenergy Private LimitedPrivate,--,,Private,Permitting,Haryana,Aerostar Bioenergy Pvt. Ltd.,biogas
Contact,--,5.93,Agnitio Infrastructure Projects Private Limited,Agnitio Infrastructure Projects Private LimitedPrivate,--,,Private,Permitting,Uttar Pradesh,"CBG Plant, Bewar, Mainpuri UP",biogas
Contact,--,2.96,Agrisesto pvt ltd,Agrisesto pvt ltdPrivate,--,,Private,Permitting,Uttar Pradesh,BIO CNG FROM PADDY STRAW,biogas
